date,value
2022-01-01,0.0
2022-01-02,0.02
2022-01-03,0.14
2022-01-04,0.5800000000000001
2022-01-05,1.0499999999999998
2022-01-06,0.06
2022-01-07,1.48
2022-01-08,1.54
2022-01-09,0.0
2022-01-10,0.23
2022-01-11,1.69
2022-01-12,0.44
2022-01-13,0.8799999999999999
2022-01-14,1.31
2022-01-15,0.16
2022-01-16,0.41
2022-01-17,0.55
2022-01-18,0.04
2022-01-19,0.0
2022-01-20,0.36
2022-01-21,0.54
2022-01-22,1.11
2022-01-23,0.39
2022-01-24,2.87
2022-01-25,1.4300000000000002
2022-01-26,3.7
2022-01-27,2.5700000000000003
2022-01-28,0.63
2022-01-29,1.07
2022-01-30,0.04
2022-01-31,0.18
2022-02-01,3.45
2022-02-02,0.05
2022-02-03,0.12
2022-02-04,0.14
2022-02-05,0.0
2022-02-06,0.11
2022-02-07,2.28
2022-02-08,0.1399999999999999
2022-02-09,0.05
2022-02-10,0.02
2022-02-11,0.0
2022-02-12,0.01
2022-02-13,0.37
2022-02-14,0.04
2022-02-15,0.01
2022-02-16,0.01
2022-02-17,0.05
2022-02-18,0.03
2022-02-19,0.01
2022-02-20,0.54
2022-02-21,0.34
2022-02-22,0.8900000000000001
2022-02-23,0.0699999999999999
2022-02-24,0.39
2022-02-25,0.11
2022-02-26,2.19
2022-02-27,0.11
2022-02-28,0.05
2022-03-01,0.09
2022-03-02,0.54
2022-03-03,4.28
2022-03-04,0.01
2022-03-05,0.76
2022-03-06,0.45
2022-03-07,2.57
2022-03-08,1.76
2022-03-09,0.04
2022-03-10,0.05
2022-03-11,5.710000000000001
2022-03-12,0.72
2022-03-13,2.17
2022-03-14,3.48
2022-03-15,4.390000000000001
2022-03-16,1.15
2022-03-17,1.4200000000000002
2022-03-18,2.14
2022-03-19,0.64
2022-03-20,9.590000000000002
2022-03-21,4.61
2022-03-22,3.52
2022-03-23,48.56
2022-03-24,18.950000000000003
2022-03-25,2.0
2022-03-26,0.54
2022-03-27,1.14
2022-03-28,0.78
2022-03-29,0.98
2022-03-30,0.29
2022-03-31,1.56
2022-04-01,1.63
2022-04-02,2.84
2022-04-03,3.8
2022-04-04,6.76
2022-04-05,11.060000000000002
2022-04-06,0.81
2022-04-07,0.35
2022-04-08,0.67
2022-04-09,0.02
2022-04-10,0.02
2022-04-11,2.65
2022-04-12,4.84
2022-04-13,0.17
2022-04-14,0.12
2022-04-15,0.01
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.29
2022-04-19,3.86
2022-04-20,0.2
2022-04-21,3.39
2022-04-22,12.61
2022-04-23,7.93
2022-04-24,0.01
2022-04-25,0.0
2022-04-26,0.56
2022-04-27,1.2800000000000002
2022-04-28,0.53
2022-04-29,0.6200000000000001
2022-04-30,0.04
2022-05-01,0.03
2022-05-02,4.86
2022-05-03,0.27
2022-05-04,2.43
2022-05-05,0.06
2022-05-06,0.07
2022-05-07,0.12
2022-05-08,0.04
2022-05-09,0.02
2022-05-10,0.03
2022-05-11,0.32
2022-05-12,0.04
2022-05-13,0.0
2022-05-14,3.2300000000000004
2022-05-15,0.64
2022-05-16,0.06
2022-05-17,0.0
2022-05-18,0.06
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,1.55
2022-05-22,0.24
2022-05-23,0.05
2022-05-24,1.41
2022-05-25,0.6200000000000001
2022-05-26,0.13
2022-05-27,0.11
2022-05-28,0.3
2022-05-29,0.78
2022-05-30,0.38
2022-05-31,0.05
2022-06-01,0.12
2022-06-02,0.12
2022-06-03,0.17
2022-06-04,0.23
2022-06-05,0.07
2022-06-06,0.25
2022-06-07,0.35
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.03
2022-06-11,0.18
2022-06-12,0.32
2022-06-13,0.01
2022-06-14,0.11
2022-06-15,0.71
2022-06-16,0.44
2022-06-17,0.23
2022-06-18,0.22
2022-06-19,0.3
2022-06-20,0.74
2022-06-21,2.02
2022-06-22,2.66
2022-06-23,0.99
2022-06-24,0.77
2022-06-25,0.76
2022-06-26,1.3700000000000003
2022-06-27,1.1800000000000002
2022-06-28,0.07
2022-06-29,0.08
2022-06-30,0.65
2022-07-01,0.0
2022-07-02,0.3
2022-07-03,0.04
2022-07-04,0.0
2022-07-05,0.15
2022-07-06,0.01
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.02
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.01
