site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
albufera-valencia,2018-04-16,2,S2B_30SYJ_20180416_0_L2A;S2B_31SBD_20180416_0_L2A,1.0,0.9952,0.0048,0.156,0.1836,otsu,0.871,0.1646,27537.6,57.9,0.4409,1.2,130.6,66.2,-0.0797,-0.0033,0.016,0.0,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-04-26,2,S2B_30SYJ_20180426_0_L2A;S2B_31SBD_20180426_0_L2A,1.0,0.3875,0.6125,0.1101,0.0195,otsu,0.579,0.0607,27537.6,6783.5,0.4022,41.0,7043.0,1630.8,-0.1638,0.0953,0.2977,0.3056,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-01,2,S2A_30SYJ_20180501_0_L2A;S2A_31SBD_20180501_0_L2A,1.0,0.0098,0.9902,0.0995,0.0273,otsu,0.624,0.0371,27537.6,9059.1,0.3322,105.5,9110.2,8947.6,-0.2554,0.094,0.4205,0.256,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-06,2,S2B_30SYJ_20180506_0_L2A;S2B_31SBD_20180506_0_L2A,1.0,0.2704,0.7296,0.1309,0.0664,otsu,0.52,0.0494,27537.6,3895.3,0.1939,200.1,5077.0,2688.9,-0.2425,0.1824,0.4093,0.4838,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-11,2,S2A_30SYJ_20180511_0_L2A;S2A_31SBD_20180511_0_L2A,1.0,0.0072,0.9928,0.1015,0.0117,otsu,0.595,0.0545,27537.6,9742.8,0.3563,358.5,9265.4,6207.6,-0.2099,0.101,0.3987,0.2467,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-16,2,S2B_30SYJ_20180516_0_L2A;S2B_31SBD_20180516_0_L2A,1.0,0.4095,0.5905,0.0584,0.0742,otsu,0.537,0.0453,27537.6,8412.1,0.5173,1218.8,6596.4,6889.0,-0.2033,0.0322,0.1837,0.0816,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-21,2,S2A_30SYJ_20180521_0_L2A;S2A_31SBD_20180521_0_L2A,1.0,0.0221,0.9779,0.0578,0.0898,otsu,0.772,0.0431,27537.6,12564.5,0.4666,5507.4,10445.8,3835.8,-0.1135,0.1383,0.3793,0.3007,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-05-26,2,S2B_30SYJ_20180526_0_L2A;S2B_31SBD_20180526_0_L2A,1.0,0.2619,0.7381,0.089,-0.0117,otsu,0.687,0.1269,27537.6,12584.9,0.6192,3419.6,9072.5,511.5,-0.0909,0.0997,0.279,0.1726,nublado,2026-09-03T07:34:45+00:00
albufera-valencia,2018-05-31,2,S2A_30SYJ_20180531_0_L2A;S2A_31SBD_20180531_0_L2A,1.0,0.0979,0.9021,0.0655,0.043,otsu,0.715,0.0524,27537.6,11234.7,0.4523,7198.5,9244.7,1320.0,-0.1129,0.0986,0.3293,0.2073,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-15,4,S2B_30SYJ_20180615_0_L2A;S2B_30SYJ_20180615_1_L2A;S2B_31SBD_20180615_0_L2A;S2B_31SBD_20180615_1_L2A,1.0,0.0192,0.9808,0.0597,-0.0273,otsu,0.488,0.038,27537.6,9795.3,0.3627,9307.0,9155.7,1723.8,-0.1514,0.0998,0.3451,0.2493,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-20,4,S2A_30SYJ_20180620_0_L2A;S2A_30SYJ_20180620_1_L2A;S2A_31SBD_20180620_0_L2A;S2A_31SBD_20180620_1_L2A,1.0,0.016,0.984,0.0488,-0.0039,otsu,0.509,0.0359,27537.6,9336.0,0.3446,5330.2,9130.8,3209.9,-0.1729,0.1002,0.3526,0.2537,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-25,4,S2B_30SYJ_20180625_0_L2A;S2B_30SYJ_20180625_1_L2A;S2B_31SBD_20180625_0_L2A;S2B_31SBD_20180625_1_L2A,1.0,0.008,0.992,0.0581,-0.1289,otsu,0.474,0.1162,27537.6,9175.8,0.3359,2618.8,9071.1,141.0,-0.1024,0.0713,0.2101,0.1453,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-30,2,S2A_30SYJ_20180630_0_L2A;S2A_31SBD_20180630_0_L2A,1.0,0.0591,0.9409,0.0686,-0.1055,otsu,0.591,0.1136,27537.6,8424.6,0.3252,767.7,8372.7,102.8,-0.1003,0.0603,0.2002,0.1004,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-05,4,S2B_30SYJ_20180705_0_L2A;S2B_30SYJ_20180705_1_L2A;S2B_31SBD_20180705_0_L2A;S2B_31SBD_20180705_1_L2A,1.0,0.0056,0.9944,0.0468,-0.1211,otsu,0.462,0.0421,27537.6,9154.0,0.3343,303.0,9139.5,901.6,-0.1632,0.0564,0.2105,0.1392,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-10,2,S2A_30SYJ_20180710_0_L2A;S2A_31SBD_20180710_0_L2A,1.0,0.0071,0.9929,0.033,0.0273,otsu,0.321,0.0349,27537.6,9071.4,0.3318,123.0,9138.8,8547.8,-0.3968,0.0518,0.3015,0.2456,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-15,2,S2B_30SYJ_20180715_0_L2A;S2B_31SBD_20180715_0_L2A,1.0,0.0076,0.9924,0.0574,-0.1211,otsu,0.664,0.1147,27537.6,8898.9,0.3256,259.9,8826.4,27.0,-0.1068,0.0542,0.1457,0.001,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-20,2,S2A_30SYJ_20180720_0_L2A;S2A_31SBD_20180720_0_L2A,1.0,0.045,0.955,0.0612,-0.0742,otsu,0.956,0.1324,27537.6,7765.8,0.2953,336.6,7695.8,59.5,-0.1146,0.0594,0.1514,0.0008,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-25,2,S2B_30SYJ_20180725_0_L2A;S2B_31SBD_20180725_0_L2A,1.0,0.1173,0.8827,0.0695,-0.043,otsu,0.396,0.0589,27537.6,7402.0,0.3045,104.6,7450.4,2214.2,-0.1572,0.0495,0.1734,0.0144,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-30,2,S2A_30SYJ_20180730_0_L2A;S2A_31SBD_20180730_0_L2A,1.0,0.007,0.993,0.0329,-0.082,otsu,0.577,0.0419,27537.6,9121.8,0.3336,97.9,9131.2,7082.6,-0.2151,0.0433,0.1696,0.0299,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-08-04,4,S2B_30SYJ_20180804_0_L2A;S2B_30SYJ_20180804_1_L2A;S2B_31SBD_20180804_0_L2A;S2B_31SBD_20180804_1_L2A,1.0,0.0099,0.9901,0.0306,-0.0742,otsu,0.522,0.0412,27537.6,9133.5,0.335,80.1,9149.7,7478.5,-0.2509,0.0441,0.192,0.0784,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-08-09,4,S2A_30SYJ_20180809_0_L2A;S2A_30SYJ_20180809_1_L2A;S2A_31SBD_20180809_0_L2A;S2A_31SBD_20180809_1_L2A,1.0,0.0209,0.9791,0.0515,-0.0742,otsu,0.722,0.0535,27537.6,8531.9,0.3164,197.9,8378.5,341.4,-0.1295,0.0397,0.1138,0.0019,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-08-14,4,S2B_30SYJ_20180814_0_L2A;S2B_30SYJ_20180814_1_L2A;S2B_31SBD_20180814_0_L2A;S2B_31SBD_20180814_1_L2A,1.0,0.0055,0.9945,0.0364,-0.0352,otsu,0.536,0.0458,27537.6,9107.1,0.3325,68.4,9115.9,7651.8,-0.2309,0.0599,0.1978,0.091,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-08-19,4,S2A_30SYJ_20180819_0_L2A;S2A_30SYJ_20180819_1_L2A;S2A_31SBD_20180819_0_L2A;S2A_31SBD_20180819_1_L2A,1.0,0.0086,0.9914,0.0206,0.1992,otsu,0.027,0.0181,27537.6,8557.7,0.3135,532.5,9134.8,9012.7,-0.6795,-0.129,0.2418,0.2594,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-08-24,4,S2B_30SYJ_20180824_0_L2A;S2B_30SYJ_20180824_1_L2A;S2B_31SBD_20180824_0_L2A;S2B_31SBD_20180824_1_L2A,1.0,0.0046,0.9954,0.028,0.1836,otsu,0.227,0.0252,27537.6,9076.2,0.3311,33.4,9147.5,9015.6,-0.4867,-0.0458,0.1994,0.0963,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-08-29,4,S2A_30SYJ_20180829_0_L2A;S2A_30SYJ_20180829_1_L2A;S2A_31SBD_20180829_0_L2A;S2A_31SBD_20180829_1_L2A,1.0,0.0255,0.9745,0.0427,0.0273,otsu,0.546,0.0388,27537.6,9083.8,0.3385,47.5,9108.0,8716.2,-0.2796,0.0773,0.1863,0.0358,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-09-13,4,S2B_30SYJ_20180913_0_L2A;S2B_30SYJ_20180913_1_L2A;S2B_31SBD_20180913_0_L2A;S2B_31SBD_20180913_1_L2A,1.0,0.0041,0.9959,0.0308,0.168,otsu,0.107,0.021,27537.6,9095.2,0.3316,27.0,9149.4,9028.7,-0.5679,-0.0293,0.3735,0.2482,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-09-18,4,S2A_30SYJ_20180918_0_L2A;S2A_30SYJ_20180918_1_L2A;S2A_31SBD_20180918_0_L2A;S2A_31SBD_20180918_1_L2A,1.0,0.3657,0.6343,0.0519,0.1211,otsu,0.446,0.0365,27537.6,7686.4,0.4401,22.4,7906.5,7196.8,-0.2487,0.0855,0.3081,0.2472,nublado,2026-09-03T07:35:41+00:00
albufera-valencia,2018-09-23,2,S2B_30SYJ_20180923_0_L2A;S2B_31SBD_20180923_0_L2A,1.0,0.0037,0.9963,0.0383,0.1523,otsu,0.214,0.0278,27537.6,9106.1,0.3319,26.6,9158.9,9025.8,-0.4444,0.0558,0.3763,0.2546,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-09-28,4,S2A_30SYJ_20180928_0_L2A;S2A_30SYJ_20180928_1_L2A;S2A_31SBD_20180928_0_L2A;S2A_31SBD_20180928_1_L2A,1.0,0.0048,0.9952,0.0365,0.2383,otsu,0.05,0.0323,27537.6,9069.0,0.3309,26.1,9110.5,9032.0,-0.5889,-0.077,0.4507,0.2536,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-10-03,2,S2B_30SYJ_20181003_0_L2A;S2B_31SBD_20181003_0_L2A,1.0,0.0054,0.9946,0.0394,0.2148,otsu,0.04,0.0203,27537.6,9114.1,0.3328,26.0,9146.1,9070.2,-0.6324,-0.0776,0.466,0.2644,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-10-08,2,S2A_30SYJ_20181008_0_L2A;S2A_31SBD_20181008_0_L2A,1.0,0.0495,0.9505,0.0509,0.2227,otsu,0.041,0.0215,27537.6,9117.5,0.3483,33.3,9160.2,9407.9,-0.6116,-0.0451,0.4742,0.2582,ok,2026-09-03T07:35:41+00:00
albufera-valencia,2018-10-13,4,S2B_30SYJ_20181013_0_L2A;S2B_30SYJ_20181013_1_L2A;S2B_31SBD_20181013_0_L2A;S2B_31SBD_20181013_1_L2A,1.0,0.455,0.545,0.0753,0.1523,otsu,0.365,0.052,27537.6,4690.9,0.3125,50.2,4971.4,5350.0,-0.3128,0.0533,0.3415,0.2955,nublado,2026-09-03T07:36:16+00:00
albufera-valencia,2018-10-23,2,S2B_30SYJ_20181023_0_L2A;S2B_31SBD_20181023_0_L2A,1.0,0.7973,0.2027,0.0456,0.1992,otsu,0.353,0.0415,27537.6,3610.7,0.6469,33.7,3148.0,3837.6,-0.2858,0.0077,0.1567,0.0401,nublado,2026-09-03T07:36:16+00:00
albufera-valencia,2018-10-28,2,S2A_30SYJ_20181028_0_L2A;S2A_31SBD_20181028_0_L2A,1.0,0.0347,0.9653,0.0244,0.3164,otsu,0.237,0.0196,27537.6,13407.0,0.5044,280.5,12203.2,14515.5,-0.4097,-0.0975,0.5376,0.2073,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-11-07,2,S2A_30SYJ_20181107_0_L2A;S2A_31SBD_20181107_0_L2A,1.0,0.0362,0.9638,0.0285,0.3008,otsu,0.254,0.022,27537.6,13939.8,0.5252,423.2,13354.3,14845.2,-0.3993,-0.09,0.5229,0.2035,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-11-17,2,S2A_30SYJ_20181117_0_L2A;S2A_31SBD_20181117_0_L2A,1.0,0.4015,0.5985,0.0442,0.332,otsu,0.373,0.0417,27537.6,10535.7,0.6392,289.2,12368.5,12721.1,-0.267,0.0362,0.4049,0.179,nublado,2026-09-03T07:36:16+00:00
albufera-valencia,2018-11-27,4,S2A_30SYJ_20181127_0_L2A;S2A_30SYJ_20181127_1_L2A;S2A_31SBD_20181127_0_L2A;S2A_31SBD_20181127_1_L2A,1.0,0.0555,0.9445,0.0364,0.3242,otsu,0.201,0.0355,27537.6,14643.7,0.563,611.9,14177.3,15462.6,-0.3572,-0.0286,0.3622,0.2029,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-12-02,2,S2B_30SYJ_20181202_0_L2A;S2B_31SBD_20181202_0_L2A,1.0,0.0389,0.9611,0.037,0.3242,otsu,0.139,0.0324,27537.6,14284.2,0.5397,558.7,14134.2,15130.1,-0.4228,-0.1624,0.4162,0.2438,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-12-07,2,S2A_30SYJ_20181207_0_L2A;S2A_31SBD_20181207_0_L2A,1.0,0.0521,0.9479,0.0334,0.332,otsu,0.234,0.0301,27537.6,14302.9,0.548,702.1,14015.8,15148.3,-0.3647,-0.019,0.3781,0.2202,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-12-12,2,S2B_30SYJ_20181212_0_L2A;S2B_31SBD_20181212_0_L2A,1.0,0.0398,0.9602,0.0386,0.3086,otsu,0.235,0.034,27537.6,14350.3,0.5427,692.4,14085.8,15139.1,-0.3512,-0.0008,0.3654,0.2188,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-12-17,2,S2A_30SYJ_20181217_0_L2A;S2A_31SBD_20181217_0_L2A,1.0,0.0402,0.9598,0.05,0.332,otsu,0.134,0.0442,27537.6,14380.7,0.5441,765.6,14161.3,15254.9,-0.3828,-0.0394,0.4273,0.2391,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2018-12-22,2,S2B_30SYJ_20181222_0_L2A;S2B_31SBD_20181222_0_L2A,1.0,0.0973,0.9027,0.046,0.2305,otsu,0.192,0.041,27537.6,13169.4,0.5298,865.7,12910.0,13740.0,-0.3659,0.0262,0.3895,0.2108,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-01-01,2,S2B_30SYJ_20190101_0_L2A;S2B_31SBD_20190101_0_L2A,1.0,0.0372,0.9628,0.0374,0.3164,otsu,0.117,0.034,27537.6,14034.9,0.5293,944.6,13855.9,15029.7,-0.4388,-0.1214,0.463,0.235,ok,2026-09-03T07:36:16+00:00
albufera-valencia,2019-01-06,2,S2A_30SYJ_20190106_0_L2A;S2A_31SBD_20190106_0_L2A,1.0,0.0479,0.9521,0.0363,0.3242,otsu,0.151,0.0319,27537.6,14078.6,0.537,875.6,13871.4,14929.7,-0.3946,-0.0561,0.4227,0.2203,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-01-11,2,S2B_30SYJ_20190111_0_L2A;S2B_31SBD_20190111_0_L2A,1.0,0.0335,0.9665,0.0432,0.3008,otsu,0.142,0.0372,27537.6,13893.8,0.522,1025.6,13500.2,14853.9,-0.3868,-0.0528,0.4323,0.2241,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-01-16,2,S2A_30SYJ_20190116_0_L2A;S2A_31SBD_20190116_0_L2A,1.0,0.0337,0.9663,0.0386,0.3086,otsu,0.212,0.0337,27537.6,14423.9,0.542,1154.3,13961.2,14973.6,-0.3196,0.0162,0.3377,0.2091,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-01-21,2,S2B_30SYJ_20190121_0_L2A;S2B_31SBD_20190121_0_L2A,1.0,0.0247,0.9753,0.0458,0.3086,otsu,0.109,0.0383,27537.6,13576.2,0.5055,1109.8,13242.8,14438.8,-0.4131,-0.049,0.4076,0.2363,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-01-26,2,S2A_30SYJ_20190126_0_L2A;S2A_31SBD_20190126_0_L2A,1.0,0.0276,0.9724,0.0443,0.3242,otsu,0.135,0.0297,27537.6,12823.2,0.4789,510.5,12580.3,13662.7,-0.4469,-0.1822,0.3467,0.2278,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-02-05,2,S2A_30SYJ_20190205_0_L2A;S2A_31SBD_20190205_0_L2A,1.0,0.0112,0.9888,0.0473,0.3008,otsu,0.064,0.0352,27537.6,12407.2,0.4556,309.2,12212.3,13125.9,-0.4578,-0.119,0.2966,0.2134,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-02-10,2,S2B_30SYJ_20190210_0_L2A;S2B_31SBD_20190210_0_L2A,1.0,0.4557,0.5443,0.0481,0.0742,otsu,0.439,0.0354,27537.6,3770.9,0.2516,373.6,3514.3,5461.5,-0.2508,-0.0073,0.1214,0.0219,nublado,2026-09-03T07:36:56+00:00
albufera-valencia,2019-02-20,2,S2B_30SYJ_20190220_1_L2A;S2B_31SBD_20190220_1_L2A,1.0,0.0246,0.9754,0.0705,0.2148,otsu,0.297,0.0324,27537.6,10137.2,0.3774,204.4,10031.0,11236.1,-0.3254,-0.0068,0.297,0.2141,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-02-25,2,S2A_30SYJ_20190225_0_L2A;S2A_31SBD_20190225_0_L2A,1.0,0.0087,0.9913,0.0714,0.3008,otsu,0.081,0.0256,27537.6,9862.8,0.3613,64.4,9855.6,10852.2,-0.4676,-0.0356,0.284,0.2151,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-03-02,3,S2B_30SYJ_20190302_0_L2A;S2B_31SBD_20190302_0_L2A;S2B_31SBD_20190302_1_L2A,1.0,0.0045,0.9955,0.0788,0.2695,otsu,0.132,0.0297,27537.6,9654.8,0.3522,57.4,9712.2,10548.7,-0.4624,-0.1084,0.2408,0.1628,ok,2026-09-03T07:38:09+00:00
albufera-valencia,2019-03-07,2,S2A_30SYJ_20190307_0_L2A;S2A_31SBD_20190307_0_L2A,1.0,0.6895,0.3105,0.0842,0.1367,otsu,0.443,0.0284,27537.6,874.8,0.1023,21.4,880.3,912.7,-0.2862,0.0641,0.2921,0.2531,nublado,2026-09-03T07:36:56+00:00
albufera-valencia,2019-03-12,2,S2B_30SYJ_20190312_0_L2A;S2B_31SBD_20190312_0_L2A,1.0,0.0025,0.9975,0.0799,0.2383,otsu,0.158,0.0304,27537.6,9201.0,0.335,16.7,9254.8,9629.7,-0.5106,-0.0486,0.247,0.2249,ok,2026-09-03T07:36:56+00:00
albufera-valencia,2019-03-17,2,S2A_30SYJ_20190317_0_L2A;S2A_31SBD_20190317_0_L2A,1.0,0.002,0.998,0.0775,0.207,otsu,0.189,0.0256,27537.6,9084.0,0.3305,15.6,9156.8,9335.0,-0.4783,-0.0552,0.2838,0.2351,ok,2026-09-03T07:38:09+00:00
albufera-valencia,2019-03-22,2,S2B_30SYJ_20190322_0_L2A;S2B_31SBD_20190322_0_L2A,1.0,0.7805,0.2195,0.1133,0.0977,otsu,0.699,0.0975,27537.6,1610.7,0.2665,85.3,2604.7,2847.6,-0.1961,0.0775,0.223,0.1935,nublado,2026-09-03T07:38:09+00:00
albufera-valencia,2019-03-27,4,S2A_30SYJ_20190327_0_L2A;S2A_30SYJ_20190327_1_L2A;S2A_31SBD_20190327_0_L2A;S2A_31SBD_20190327_1_L2A,1.0,0.005,0.995,0.0783,0.2695,otsu,0.046,0.0263,27537.6,8990.5,0.3281,6.4,9054.3,9168.2,-0.579,-0.1363,0.3333,0.2463,ok,2026-09-03T07:38:09+00:00
albufera-valencia,2019-04-11,4,S2B_30SYJ_20190411_0_L2A;S2B_30SYJ_20190411_1_L2A;S2B_31SBD_20190411_0_L2A;S2B_31SBD_20190411_1_L2A,1.0,0.0017,0.9983,0.0906,0.1992,otsu,0.206,0.029,27537.6,9089.3,0.3306,28.6,9149.5,9177.6,-0.4906,-0.0269,0.4134,0.2551,ok,2026-09-03T07:38:09+00:00
albufera-valencia,2019-04-16,4,S2A_30SYJ_20190416_0_L2A;S2A_30SYJ_20190416_1_L2A;S2A_31SBD_20190416_0_L2A;S2A_31SBD_20190416_1_L2A,1.0,0.2576,0.7424,0.1015,0.0898,otsu,0.449,0.05,27537.6,8295.6,0.4058,22.6,8441.8,8652.8,-0.246,0.0447,0.3113,0.2265,nublado,2026-09-03T07:38:09+00:00
albufera-valencia,2019-04-26,4,S2A_30SYJ_20190426_0_L2A;S2A_30SYJ_20190426_1_L2A;S2A_31SBD_20190426_0_L2A;S2A_31SBD_20190426_1_L2A,1.0,0.0016,0.9984,0.0587,0.2695,otsu,0.086,0.0614,27537.6,9107.1,0.3313,26.3,9140.8,10122.2,-0.5294,-0.0372,0.4175,0.2539,ok,2026-09-03T07:38:09+00:00
