site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
marais-poitevin,2018-05-07,1,S2A_30TXS_20180507_0_L2A,0.5232,0.1021,0.4698,0.034,0.0,fijo,0.348,0.1139,60526.8,262.7,0.0092,256.6,240.5,128.0,-0.0717,0.0402,0.1493,0.0417,parcial,2026-09-03T17:46:05+00:00
marais-poitevin,2018-05-09,1,S2B_30TXS_20180509_0_L2A,1.0,0.4461,0.5539,0.068,-0.3242,otsu,1.328,0.1296,60526.8,462.8,0.0138,14452.4,101.0,12.1,0.0264,0.0529,0.0674,0.0095,nublado,2026-09-03T17:46:05+00:00
marais-poitevin,2018-05-19,1,S2B_30TXS_20180519_0_L2A,1.0,0.0061,0.9939,0.0289,0.0,fijo,0.305,0.0698,60526.8,275.6,0.0046,251.8,187.6,85.3,-0.0537,0.0691,0.1941,0.0936,ok,2026-09-03T17:46:05+00:00
marais-poitevin,2018-05-24,1,S2A_30TXS_20180524_0_L2A,1.0,0.057,0.943,0.0336,0.0,fijo,0.306,0.0672,60526.8,325.9,0.0057,207.5,324.7,175.7,-0.1253,0.0749,0.2886,0.1528,ok,2026-09-03T17:47:39+00:00
marais-poitevin,2018-05-27,1,S2A_30TXS_20180527_0_L2A,0.5362,0.2319,0.4119,0.0525,-0.3164,otsu,1.391,0.1191,60526.8,581.4,0.0233,9137.1,117.5,18.5,0.0474,0.0688,0.1038,0.0299,parcial,2026-09-03T17:47:39+00:00
marais-poitevin,2018-06-13,2,S2A_30TXS_20180613_0_L2A;S2A_30TXS_20180613_1_L2A,1.0,0.1737,0.8263,0.0507,-0.3242,otsu,0.735,0.097,60526.8,342.4,0.0068,15940.7,138.4,59.2,0.0144,0.0739,0.1242,0.0283,ok,2026-09-03T17:47:39+00:00
marais-poitevin,2018-06-16,2,S2A_30TXS_20180616_0_L2A;S2A_30TXS_20180616_1_L2A,0.5508,0.4385,0.3093,0.0625,-0.3164,otsu,1.256,0.115,60526.8,264.7,0.0141,7889.7,77.6,4.4,0.0307,0.0717,0.1272,0.0112,parcial,2026-09-03T17:47:39+00:00
marais-poitevin,2018-06-21,2,S2B_30TXS_20180621_0_L2A;S2B_30TXS_20180621_1_L2A,0.5408,0.0084,0.5362,0.0449,0.0,fijo,0.831,0.1102,60526.8,185.6,0.0057,86.7,163.3,0.1,-0.0761,0.1133,0.2513,0.2187,parcial,2026-09-03T17:47:39+00:00
marais-poitevin,2018-06-23,2,S2A_30TXS_20180623_0_L2A;S2A_30TXS_20180623_1_L2A,1.0,0.0121,0.9879,0.0403,0.0,fijo,0.283,0.0889,60526.8,321.4,0.0054,146.0,370.4,150.5,-0.0887,0.0541,0.1761,0.0685,ok,2026-09-03T17:47:39+00:00
marais-poitevin,2018-06-26,1,S2A_30TXS_20180626_1_L2A,0.5442,0.0068,0.5405,0.0581,0.0,fijo,0.786,0.0929,60526.8,159.4,0.0049,104.8,150.4,1.0,-0.0905,0.1229,0.3072,0.2301,parcial,2026-09-03T17:47:39+00:00
