site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
donana,2017-11-13,6,S2B_29SPA_20171113_0_L2A;S2B_29SPB_20171113_0_L2A;S2B_29SQA_20171113_0_L2A;S2B_29SQB_20171113_0_L2A;S2B_30STF_20171113_0_L2A;S2B_30STG_20171113_0_L2A,1.0,0.0283,0.9717,0.0498,0.1836,otsu,0.057,0.0462,128266.8,8677.9,0.0696,340.7,8471.3,8662.4,-0.4238,-0.1378,0.1786,0.0727,ok,2026-09-03T07:14:41+00:00
donana,2017-11-23,6,S2B_29SPA_20171123_0_L2A;S2B_29SPB_20171123_0_L2A;S2B_29SQA_20171123_0_L2A;S2B_29SQB_20171123_0_L2A;S2B_30STF_20171123_0_L2A;S2B_30STG_20171123_0_L2A,1.0,0.4927,0.5073,0.0714,0.1055,otsu,0.496,0.0656,128266.8,4703.8,0.0723,215.2,4315.6,6369.2,-0.2308,-0.0117,0.135,0.0356,nublado,2026-09-03T07:14:41+00:00
donana,2017-12-13,7,S2B_29SPA_20171213_0_L2A;S2B_29SPB_20171213_0_L2A;S2B_29SPB_20171213_1_L2A;S2B_29SQA_20171213_0_L2A;S2B_29SQB_20171213_0_L2A;S2B_30STF_20171213_0_L2A;S2B_30STG_20171213_0_L2A,1.0,0.0392,0.9608,0.0438,0.1758,otsu,0.81,0.0684,128266.8,11441.2,0.0928,637.7,10287.0,18390.8,-0.1573,-0.0013,0.1924,0.0932,ok,2026-09-03T07:14:41+00:00
donana,2018-02-11,1,S2B_30STG_20180211_0_L2A,0.2905,0.0301,0.2818,0.0501,0.1602,otsu,0.985,0.0643,128266.8,3419.4,0.0946,235.4,3058.2,6168.8,-0.1471,0.1274,0.231,0.1451,sin_datos,2026-09-03T07:14:41+00:00
donana,2018-03-28,6,S2A_29SPA_20180328_0_L2A;S2A_29SPB_20180328_0_L2A;S2A_29SQA_20180328_0_L2A;S2A_29SQB_20180328_0_L2A;S2A_30STF_20180328_0_L2A;S2A_30STG_20180328_0_L2A,1.0,0.0314,0.9686,0.0438,0.1289,otsu,0.298,0.048,128266.8,22726.2,0.1829,5756.2,19910.0,22881.3,-0.1143,0.0324,0.208,0.1155,ok,2026-09-03T07:14:41+00:00
donana,2018-04-02,6,S2B_29SPA_20180402_0_L2A;S2B_29SPB_20180402_0_L2A;S2B_29SQA_20180402_0_L2A;S2B_29SQB_20180402_0_L2A;S2B_30STF_20180402_0_L2A;S2B_30STG_20180402_0_L2A,1.0,0.3896,0.6104,0.0687,0.1367,otsu,0.287,0.0722,128266.8,15542.7,0.1985,1616.9,13723.7,13956.6,-0.0867,0.013,0.1609,0.0375,nublado,2026-09-03T07:14:41+00:00
donana,2018-04-17,6,S2A_29SPA_20180417_0_L2A;S2A_29SPB_20180417_1_L2A;S2A_29SQA_20180417_0_L2A;S2A_29SQB_20180417_1_L2A;S2A_30STF_20180417_0_L2A;S2A_30STG_20180417_1_L2A,1.0,0.026,0.974,0.0424,0.0898,otsu,0.332,0.0548,128266.8,19165.3,0.1534,8622.7,16105.2,18057.4,-0.1169,0.0462,0.2046,0.1091,ok,2026-09-03T07:14:41+00:00
donana,2018-04-22,3,S2B_29SPA_20180422_0_L2A;S2B_30STF_20180422_0_L2A;S2B_30STG_20180422_0_L2A,0.3374,0.7878,0.0721,0.1116,-0.0195,otsu,0.407,0.1958,128266.8,1382.4,0.1495,1004.6,907.9,100.4,-0.0588,0.0549,0.1029,0.0,sin_datos,2026-09-03T07:14:41+00:00
donana,2018-04-27,6,S2A_29SPA_20180427_0_L2A;S2A_29SPB_20180427_0_L2A;S2A_29SQA_20180427_0_L2A;S2A_29SQB_20180427_0_L2A;S2A_30STF_20180427_0_L2A;S2A_30STG_20180427_0_L2A,1.0,0.0928,0.9072,0.0457,-0.0273,otsu,0.405,0.057,128266.8,14673.5,0.1261,10531.8,13056.6,10576.0,-0.146,0.0681,0.2031,0.1058,ok,2026-09-03T07:14:41+00:00
donana,2018-05-02,6,S2B_29SPA_20180502_0_L2A;S2B_29SPB_20180502_0_L2A;S2B_29SQA_20180502_0_L2A;S2B_29SQB_20180502_0_L2A;S2B_30STF_20180502_0_L2A;S2B_30STG_20180502_0_L2A,1.0,0.0414,0.9586,0.0429,0.0195,otsu,0.354,0.0522,128266.8,14871.2,0.1209,7486.8,13283.6,12190.6,-0.1307,0.0576,0.2115,0.1212,ok,2026-09-03T07:14:41+00:00
donana,2018-05-07,7,S2A_29SPB_20180507_0_L2A;S2A_29SPB_20180507_1_L2A;S2A_29SQB_20180507_0_L2A;S2A_29SQB_20180507_1_L2A;S2A_30STF_20180507_0_L2A;S2A_30STG_20180507_0_L2A;S2A_30STG_20180507_1_L2A,0.9101,0.0637,0.8521,0.0525,-0.0664,otsu,0.368,0.0726,128264.6,9136.2,0.0836,9177.1,7843.8,4250.6,-0.1122,0.0891,0.2089,0.1169,parcial,2026-09-03T08:34:05+00:00
donana,2018-05-12,3,S2B_29SPB_20180512_0_L2A;S2B_29SQB_20180512_0_L2A;S2B_30STF_20180512_0_L2A,0.9098,0.5319,0.426,0.0712,0.0,fijo,0.634,0.1241,128266.8,997.7,0.0183,763.2,756.8,267.8,-0.0696,0.0672,0.1352,0.015,parcial,2026-09-03T07:14:41+00:00
donana,2018-05-17,6,S2A_29SPA_20180517_0_L2A;S2A_29SPB_20180517_0_L2A;S2A_29SQA_20180517_0_L2A;S2A_29SQB_20180517_0_L2A;S2A_30STF_20180517_0_L2A;S2A_30STG_20180517_0_L2A,1.0,0.0282,0.9718,0.053,0.0664,otsu,0.285,0.0567,128264.6,12833.9,0.103,2854.7,11917.6,10489.1,-0.2076,0.0334,0.1991,0.0984,ok,2026-09-03T08:34:05+00:00
donana,2018-05-22,5,S2B_29SPB_20180522_0_L2A;S2B_29SQA_20180522_0_L2A;S2B_29SQB_20180522_0_L2A;S2B_30STF_20180522_0_L2A;S2B_30STG_20180522_0_L2A,1.0,0.4377,0.5623,0.0703,0.0586,otsu,0.327,0.0813,128264.6,9774.9,0.1355,2214.1,9101.4,5286.2,-0.1517,0.075,0.201,0.101,nublado,2026-09-03T08:34:05+00:00
donana,2018-05-27,3,S2A_29SPA_20180527_0_L2A;S2A_29SQA_20180527_0_L2A;S2A_30STF_20180527_0_L2A,0.3979,0.5467,0.1804,0.089,-0.0273,otsu,0.544,0.1238,128264.6,5252.8,0.227,1166.4,5127.4,1767.8,-0.1123,0.029,0.101,0.0056,sin_datos,2026-09-03T08:34:05+00:00
donana,2018-06-01,9,S2B_29SPA_20180601_0_L2A;S2B_29SPA_20180601_1_L2A;S2B_29SPB_20180601_0_L2A;S2B_29SPB_20180601_1_L2A;S2B_29SQA_20180601_0_L2A;S2B_29SQA_20180601_1_L2A;S2B_29SQB_20180601_0_L2A;S2B_30STF_20180601_0_L2A;S2B_30STF_20180601_1_L2A,1.0,0.2914,0.7086,0.0581,-0.0352,otsu,0.447,0.0857,128264.6,9925.4,0.1092,1936.2,9211.7,2555.7,-0.1181,0.0478,0.156,0.042,nublado,2026-09-03T08:34:05+00:00
donana,2018-06-06,4,S2A_29SPA_20180606_0_L2A;S2A_29SPA_20180606_1_L2A;S2A_29SQA_20180606_0_L2A;S2A_29SQA_20180606_1_L2A,0.3979,0.4033,0.2379,0.0894,0.0273,otsu,0.425,0.1202,128264.6,8271.2,0.2711,626.2,8005.8,1836.0,-0.1518,0.0201,0.1138,0.0204,sin_datos,2026-09-03T08:34:05+00:00
donana,2018-06-11,1,S2B_29SQA_20180611_0_L2A,0.3979,0.5532,0.1783,0.0968,0.0352,otsu,0.406,0.119,128264.6,7439.8,0.3254,387.0,7402.6,2987.5,-0.1604,0.0403,0.1596,0.0558,sin_datos,2026-09-03T08:34:05+00:00
donana,2018-06-16,12,S2A_29SPA_20180616_0_L2A;S2A_29SPA_20180616_1_L2A;S2A_29SPB_20180616_0_L2A;S2A_29SPB_20180616_1_L2A;S2A_29SQA_20180616_0_L2A;S2A_29SQA_20180616_1_L2A;S2A_29SQB_20180616_0_L2A;S2A_29SQB_20180616_1_L2A;S2A_30STF_20180616_0_L2A;S2A_30STF_20180616_1_L2A;S2A_30STG_20180616_0_L2A;S2A_30STG_20180616_1_L2A,1.0,0.0319,0.9681,0.0628,0.0273,otsu,0.449,0.0712,128264.6,11435.0,0.0921,1700.3,10223.5,6767.5,-0.1375,0.0668,0.1938,0.091,ok,2026-09-03T08:34:05+00:00
donana,2018-06-21,12,S2B_29SPA_20180621_0_L2A;S2B_29SPA_20180621_1_L2A;S2B_29SPB_20180621_0_L2A;S2B_29SPB_20180621_1_L2A;S2B_29SQA_20180621_0_L2A;S2B_29SQA_20180621_1_L2A;S2B_29SQB_20180621_0_L2A;S2B_29SQB_20180621_1_L2A;S2B_30STF_20180621_0_L2A;S2B_30STF_20180621_1_L2A;S2B_30STG_20180621_0_L2A;S2B_30STG_20180621_1_L2A,1.0,0.1528,0.8472,0.0784,-0.0195,otsu,0.469,0.0873,128264.6,10902.4,0.1003,1987.8,9853.4,3979.4,-0.1143,0.0812,0.2073,0.1095,ok,2026-09-03T08:34:05+00:00
donana,2018-06-26,6,S2A_29SPA_20180626_0_L2A;S2A_29SPB_20180626_0_L2A;S2A_29SQA_20180626_0_L2A;S2A_29SQB_20180626_0_L2A;S2A_30STF_20180626_0_L2A;S2A_30STG_20180626_0_L2A,1.0,0.0424,0.9576,0.0647,-0.043,otsu,0.439,0.086,128264.6,10261.9,0.0835,2103.0,9465.9,3305.1,-0.1338,0.0829,0.2098,0.1097,ok,2026-09-03T08:34:05+00:00
donana,2018-07-01,10,S2B_29SPA_20180701_0_L2A;S2B_29SPA_20180701_1_L2A;S2B_29SPB_20180701_0_L2A;S2B_29SPB_20180701_1_L2A;S2B_29SQA_20180701_0_L2A;S2B_29SQA_20180701_1_L2A;S2B_29SQB_20180701_0_L2A;S2B_30STF_20180701_0_L2A;S2B_30STF_20180701_1_L2A;S2B_30STG_20180701_0_L2A,1.0,0.4434,0.5566,0.0962,0.0352,otsu,0.49,0.1059,128264.6,7234.1,0.1013,1093.8,7225.1,3571.8,-0.149,0.0695,0.2057,0.1096,nublado,2026-09-03T08:34:05+00:00
