site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
grand-lieu,2018-03-30,3,S2B_30TWT_20180330_0_L2A;S2B_30TWT_20180330_1_L2A;S2B_30TXT_20180330_0_L2A,1.0,0.4819,0.5181,0.0227,0.0586,otsu,0.924,0.0146,6299.3,1236.9,0.379,319.4,979.0,1761.2,0.0101,0.186,0.2828,0.5428,nublado,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-17,2,S2A_30TWT_20180417_0_L2A;S2A_30TXT_20180417_0_L2A,1.0,0.0346,0.9654,0.0183,-0.0117,otsu,0.821,0.0171,6299.3,2083.1,0.3425,936.0,1889.6,2297.7,-0.0669,0.1552,0.2508,0.2759,ok,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-19,4,S2B_30TWT_20180419_0_L2A;S2B_30TWT_20180419_1_L2A;S2B_30TXT_20180419_0_L2A;S2B_30TXT_20180419_1_L2A,1.0,0.0374,0.9626,0.0121,0.0742,otsu,0.774,0.0085,6299.3,1955.2,0.3224,555.2,1782.0,2192.8,-0.0474,0.1585,0.2946,0.3258,ok,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-22,2,S2B_30TWT_20180422_0_L2A;S2B_30TXT_20180422_0_L2A,1.0,0.0932,0.9068,0.0385,-0.168,otsu,1.245,0.0418,6299.3,679.4,0.1189,2581.3,0.5,2.6,0.0091,0.1057,0.1618,0.0136,espectro_anomalo,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-24,2,S2A_30TWT_20180424_0_L2A;S2A_30TXT_20180424_0_L2A,1.0,0.5074,0.4926,0.0329,0.1211,otsu,0.602,0.0186,6299.3,855.6,0.2757,87.3,878.6,861.2,-0.0493,0.02,0.1087,0.0036,nublado,2026-09-03T14:59:11+00:00
grand-lieu,2018-05-04,2,S2A_30TWT_20180504_0_L2A;S2A_30TXT_20180504_0_L2A,1.0,0.007,0.993,0.0142,0.0195,otsu,0.657,0.0091,6299.3,1162.2,0.1858,803.3,1079.9,1267.0,-0.0165,0.0858,0.2103,0.112,ok,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-07,2,S2A_30TWT_20180507_0_L2A;S2A_30TXT_20180507_0_L2A,1.0,0.2809,0.7191,0.0296,-0.0352,otsu,0.673,0.0281,6299.3,840.5,0.1855,819.8,757.7,718.3,-0.0654,0.0852,0.1544,0.0242,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-09,2,S2B_30TWT_20180509_0_L2A;S2B_30TXT_20180509_0_L2A,1.0,0.9776,0.0224,0.0356,0.0,fijo,,,6299.3,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-17,1,S2A_30TWT_20180517_0_L2A,1.0,0.9999,0.0001,0.2148,0.0,fijo,,,6299.3,0.0,0.0,0.4,0.0,0.0,,,,,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-19,2,S2B_30TWT_20180519_0_L2A;S2B_30TXT_20180519_0_L2A,1.0,0.0034,0.9966,0.0199,-0.0273,otsu,0.781,0.0125,6299.3,1023.9,0.1631,330.2,885.2,991.0,-0.0021,0.1265,0.1955,0.089,ok,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-22,1,S2B_30TXT_20180522_0_L2A,0.5058,0.9478,0.0273,0.0204,-0.293,otsu,,,6299.3,0.0,0.0,75.9,0.0,0.0,,,,,parcial,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-24,2,S2A_30TWT_20180524_0_L2A;S2A_30TXT_20180524_0_L2A,1.0,0.3776,0.6224,0.0578,0.1055,otsu,0.536,0.0491,6299.3,504.4,0.1286,91.3,521.9,419.8,-0.1247,0.0799,0.1506,0.0107,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-27,2,S2A_30TWT_20180527_0_L2A;S2A_30TXT_20180527_0_L2A,1.0,0.5638,0.4362,0.0559,-0.2461,otsu,0.677,0.0306,6299.3,215.6,0.0785,993.9,127.7,80.1,-0.0363,0.0831,0.1328,0.0037,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-06-01,2,S2B_30TWT_20180601_0_L2A;S2B_30TWT_20180601_1_L2A,1.0,0.9536,0.0464,0.106,-0.1758,otsu,,,6299.3,1.6,0.0053,177.2,0.4,0.0,-0.0332,0.1403,0.1875,0.0256,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-06-13,4,S2A_30TWT_20180613_0_L2A;S2A_30TWT_20180613_1_L2A;S2A_30TXT_20180613_0_L2A;S2A_30TXT_20180613_1_L2A,1.0,0.0163,0.9837,0.0239,0.0664,otsu,0.75,0.0133,6299.3,995.0,0.1606,95.4,950.8,609.9,-0.0473,0.1843,0.2404,0.4504,ok,2026-09-03T14:59:34+00:00
grand-lieu,2018-06-21,4,S2B_30TWT_20180621_0_L2A;S2B_30TWT_20180621_1_L2A;S2B_30TXT_20180621_0_L2A;S2B_30TXT_20180621_1_L2A,1.0,0.0009,0.9991,0.0228,-0.2539,otsu,0.911,0.0461,6299.3,1052.7,0.1673,1186.9,902.0,2.6,-0.0036,0.1224,0.163,0.0358,ok,2026-09-03T14:59:34+00:00
grand-lieu,2018-06-23,4,S2A_30TWT_20180623_0_L2A;S2A_30TWT_20180623_1_L2A;S2A_30TXT_20180623_0_L2A;S2A_30TXT_20180623_1_L2A,1.0,0.0009,0.9991,0.0226,0.0273,otsu,0.644,0.0131,6299.3,981.0,0.1559,141.8,966.7,997.4,-0.1069,0.2912,0.3482,0.9714,ok,2026-09-03T14:59:34+00:00
grand-lieu,2018-06-26,3,S2A_30TWT_20180626_0_L2A;S2A_30TWT_20180626_1_L2A;S2A_30TXT_20180626_0_L2A,1.0,0.001,0.999,0.0228,-0.2383,otsu,0.839,0.0376,6299.3,1031.0,0.1638,1087.3,880.9,7.2,-0.0246,0.1913,0.2303,0.3297,ok,2026-09-03T15:00:02+00:00
grand-lieu,2018-06-28,4,S2B_30TWT_20180628_0_L2A;S2B_30TWT_20180628_1_L2A;S2B_30TXT_20180628_0_L2A;S2B_30TXT_20180628_1_L2A,1.0,0.1317,0.8683,0.0291,0.0508,otsu,0.722,0.0185,6299.3,785.6,0.1436,134.9,760.3,757.0,-0.1167,0.3098,0.3722,0.9497,ok,2026-09-03T15:00:02+00:00
grand-lieu,2018-07-01,4,S2B_30TWT_20180701_0_L2A;S2B_30TWT_20180701_1_L2A;S2B_30TXT_20180701_0_L2A;S2B_30TXT_20180701_1_L2A,1.0,0.0014,0.9986,0.0238,-0.0898,otsu,0.836,0.0129,6299.3,704.9,0.1121,658.3,835.3,146.9,-0.0785,0.27,0.4023,0.8007,ok,2026-09-03T15:00:02+00:00
grand-lieu,2018-07-03,2,S2A_30TXT_20180703_0_L2A;S2A_30TXT_20180703_1_L2A,0.5058,0.9757,0.0138,0.1722,-0.1914,otsu,,,6299.3,0.0,0.0,38.7,0.0,0.0,,,,,parcial,2026-09-03T15:00:02+00:00
grand-lieu,2018-07-06,4,S2A_30TWT_20180706_0_L2A;S2A_30TWT_20180706_1_L2A;S2A_30TXT_20180706_0_L2A;S2A_30TXT_20180706_1_L2A,1.0,0.5658,0.4342,0.0646,0.168,otsu,0.694,0.0632,6299.3,469.5,0.1717,183.6,583.0,319.2,-0.2145,0.3142,0.393,0.9364,nublado,2026-09-03T15:00:02+00:00
grand-lieu,2018-07-08,4,S2B_30TWT_20180708_0_L2A;S2B_30TWT_20180708_1_L2A;S2B_30TXT_20180708_0_L2A;S2B_30TXT_20180708_1_L2A,1.0,0.0009,0.9991,0.0265,0.0977,otsu,0.9,0.0174,6299.3,389.6,0.0619,733.1,831.2,551.0,-0.1916,0.4104,0.4726,0.9956,ok,2026-09-03T15:00:02+00:00
grand-lieu,2018-07-11,4,S2B_30TWT_20180711_0_L2A;S2B_30TWT_20180711_1_L2A;S2B_30TXT_20180711_0_L2A;S2B_30TXT_20180711_1_L2A,1.0,0.0025,0.9975,0.0221,-0.0898,otsu,0.915,0.0217,6299.3,710.3,0.113,666.8,545.9,366.5,-0.1106,0.3487,0.3976,0.999,ok,2026-09-03T15:00:02+00:00
grand-lieu,2018-07-13,2,S2A_30TWT_20180713_0_L2A;S2A_30TXT_20180713_0_L2A,1.0,0.0395,0.9605,0.0268,0.0664,otsu,0.723,0.0156,6299.3,696.2,0.1151,325.1,786.7,615.8,-0.1857,0.3964,0.458,0.9992,ok,2026-09-03T15:00:02+00:00
grand-lieu,2018-07-16,4,S2A_30TWT_20180716_0_L2A;S2A_30TWT_20180716_1_L2A;S2A_30TXT_20180716_0_L2A;S2A_30TXT_20180716_1_L2A,1.0,0.0014,0.9986,0.0266,0.0586,otsu,0.759,0.0193,6299.3,715.9,0.1138,416.0,793.8,604.4,-0.1863,0.3657,0.4221,0.9988,ok,2026-09-03T15:00:02+00:00
