site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
mar-menor,2018-04-01,4,S2A_30SXG_20180401_0_L2A;S2A_30SXG_20180401_1_L2A;S2A_30SYG_20180401_0_L2A;S2A_30SYG_20180401_1_L2A,1.0,0.0057,0.9943,0.0216,13582.8,13341.3,0.9879,3.6,13365.3,13245.9,-0.6014,-0.2528,-0.0661,0.0012,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-04-11,2,S2A_30SXG_20180411_1_L2A;S2A_30SYG_20180411_1_L2A,1.0,0.3352,0.6648,0.0501,13582.8,8636.9,0.9565,108.2,8917.1,7670.2,-0.3155,-0.079,-0.0182,0.0003,nublado,2026-09-02T13:00:50+00:00
mar-menor,2018-04-16,2,S2B_30SXG_20180416_0_L2A;S2B_30SYG_20180416_0_L2A,1.0,0.0337,0.9663,0.04,13582.8,12672.5,0.9655,157.1,12923.6,12446.1,-0.4285,-0.0926,-0.0199,0.0011,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-04-21,1,S2A_30SXG_20180421_0_L2A,1.0,0.9524,0.0476,0.0903,13582.8,640.4,0.9896,0.7,638.0,133.2,-0.1051,-0.0181,0.0105,0.0001,nublado,2026-09-02T12:59:51+00:00
mar-menor,2018-05-01,2,S2A_30SXG_20180501_0_L2A;S2A_30SYG_20180501_0_L2A,1.0,0.0618,0.9382,0.0496,13582.8,12555.9,0.9853,4.9,12580.7,10087.7,-0.2713,-0.0379,0.0077,0.0009,ok,2026-09-02T12:59:51+00:00
mar-menor,2018-05-06,2,S2B_30SXG_20180506_0_L2A;S2B_30SYG_20180506_0_L2A,1.0,0.0274,0.9726,0.0434,13582.8,13029.2,0.9863,1.6,13067.5,12680.5,-0.3845,-0.052,0.0065,0.0009,ok,2026-09-02T12:59:51+00:00
mar-menor,2018-05-11,2,S2A_30SXG_20180511_0_L2A;S2A_30SYG_20180511_0_L2A,1.0,0.0621,0.9379,0.0616,13582.8,12578.0,0.9873,1.4,12605.2,9590.2,-0.2326,-0.0243,0.0036,0.0003,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-05-16,2,S2B_30SXG_20180516_0_L2A;S2B_30SYG_20180516_0_L2A,1.0,0.1178,0.8822,0.0612,13582.8,11794.5,0.9843,4.0,11826.9,1794.8,-0.2059,-0.0296,0.0012,0.0007,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-05-21,2,S2A_30SXG_20180521_0_L2A;S2A_30SYG_20180521_0_L2A,1.0,0.0786,0.9214,0.0789,13582.8,12347.7,0.9866,1.3,12389.8,494.4,-0.1359,0.001,0.0238,0.0001,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-05-26,1,S2B_30SXG_20180526_0_L2A,1.0,0.3401,0.6599,0.0983,13582.8,8250.5,0.9204,0.7,8857.3,2141.9,-0.1347,-0.0038,0.0226,0.0001,nublado,2026-09-02T13:00:50+00:00
mar-menor,2018-05-31,2,S2A_30SXG_20180531_0_L2A;S2A_30SYG_20180531_0_L2A,1.0,0.0262,0.9738,0.0824,13582.8,13044.5,0.9862,1.5,13088.8,1056.3,-0.1311,-0.0012,0.0256,0.0004,ok,2026-09-02T13:00:50+00:00
